tag;name;r;g;b;money
TIR;Tirol;170;43;21;100
TRI;Trier;208;104;44;100
ULM;Ulm;202;202;202;100
WBG;Wurzburg;147;146;106;100
WES;Westfalia;231;230;138;100
WUR;Wurttemberg;111;162;128;100
NUM;Nuremberg;243;112;15;100
MEM;Memmingen;210;37;57;100
VER;Verden;227;211;34;100
NSA;Nassau;91;83;203;100
RVA;Ravensburg;108;139;228;100
DTT;Dithmarschen;72;194;212;100
AUH;Austriahungary;239;239;239;100
GMA;Greatmoravia;215;17;32;100
ARA;Aragon;166;68;72;100
CAS;Castille;193;171;8;100
CAT;Catalunya;213;132;76;100
GRA;Granada;210;220;175;100
NAV;Navarra;252;233;58;100
POR;Portugal;40;110;140;100
SPA;Spain;231;181;12;100
GAL;Galicia;240;167;130;100
LON;Leon;99;14;87;100
ADU;Andalusia;240;230;155;100
VAL;Valencia;132;97;138;100
ASU;Asturias;104;173;230;100
MJO;Majorca;243;111;107;100
AQU;Aquileia;34;30;174;100
ETR;Etruria;114;154;143;100
FER;Ferrara;21;128;21;100
GEN;Genoa;218;215;56;100
ITA;Italy;125;171;84;100
MAN;Mantua;191;83;101;100
MLO;Milan;166;108;146;100
MOD;Modena;241;252;151;100
NAP;Naples;100;50;150;100
PAP;Papal;211;220;178;100
PAR;Parma;128;202;129;100
PIS;Pisa;177;150;109;100
SAR;Sardinia;117;146;167;100
SAV;Savoy;235;196;231;100
SIC;Sicily;73;152;76;100
SIE;Siena;165;171;115;100
TUS;Tuscany;84;96;136;100
URB;Urbino;61;152;180;100
VEN;Venice;54;167;156;100
MFA;Montferrat;96;183;6;100
LUC;Lucca;146;251;82;100
LAN;Florence;236;47;47;100
JAI;Malta;80;200;120;100
BRB;Brabant;118;193;153;100
FLA;Flanders;43;141;172;100
FRI;Friesland;165;89;27;100
GEL;Gelre;139;66;97;100
HAI;Hainaut;103;62;185;100
HOL;Holland;156;96;100;100
LIE;Liege;149;186;37;100
LUX;Luxembourg;53;140;73;100
NED;Netherlands;220;138;57;100
UTR;Utrecht;223;198;64;100
VOC;VOC;205;125;46;100
ARM;Armenia;145;30;75;100
AST;Astrakhan;26;27;154;100
CRI;Crimea;59;158;125;100
GEO;Georgia;190;35;37;100
KAZ;Kazan;97;102;135;100
MOS;Muscowy;206;181;97;100
NOV;Novgorod;97;126;37;100
PSK;Pskov;82;123;95;100
QAS;QasimKhanate;82;135;124;100
RUS;Russia;96;131;80;100
RYA;Ryazan;146;134;77;100
TVE;Tver;136;158;183;100
UKR;Ukraine;124;183;151;100
YAR;Yaroslavl;131;141;142;100
ZAZ;Zaporozhie;117;112;131;100
NOG;Nogai;0;120;145;100
SIB;Sibir;139;138;160;100
PLT;Polotsk;16;113;155;100
PRM;Perm;236;159;90;100
FEO;Theodoro;61;8;81;100
BSH;Bashkiria;131;202;12;100
BLO;Beloozero;66;32;81;100
RSO;Rostov;227;221;77;100
GOL;GreatHorde;193;179;127;100
GLH;GoldenHorde;250;182;3;100
ADE;Aden;233;155;81;100
ALH;Haasa;178;103;5;100
ANZ;Anizah;143;222;169;100
ARB;Arabia;76;141;58;100
ARD;Ardalan;162;29;220;100
BHT;Bohtan;62;129;120;100
DAW;Dawasir;33;92;143;100
ERE;Eretna;250;200;70;100
FAD;Fadl;96;148;40;100
GRM;Germiyan;200;8;21;100
HDR;Hadramut;16;142;49;100
HED;Hedjaz;255;215;185;100
LEB;Lebanon;225;110;25;100
MAK;Makuria;184;80;52;100
MDA;Medina;191;68;86;100
MFL;Mikhlaf;116;68;143;100
MHR;Mahra;53;191;176;100
NAJ;Najd;50;105;70;100
NJR;Najran;110;159;225;100
OMA;Oman;98;134;153;100
RAS;Rassids;205;10;10;100
SHM;Shammar;255;204;45;100
SHR;Sharjah;64;120;172;100
SRV;Shirvanshah;98;206;253;100
YAS;Yas;239;125;125;100
YEM;Yemen;106;38;44;100
HSN;Ayyubids;234;179;30;100
BTL;Bitlis;205;110;47;100
AKK;AkKoyunlu;31;49;138;100
AYD;Aydin;255;151;40;100
CND;Candar;114;70;103;100
DUL;Dulkadir;233;255;218;100
IRQ;Iraq;153;138;161;100
KAR;Karaman;90;160;190;100
SYR;Syria;125;110;225;100
TRE;Trebizond;40;164;157;100
SRU;Saruhan;0;123;12;100
MEN;Mentese;108;48;130;100
RAM;Ramazan;130;0;0;100
AVR;Avars;42;145;210;100
MLK;Kashen;117;167;117;100
SME;Samtskhe;22;157;57;100
ARL;Ardabil;68;110;35;100
MSY;Mushashaiyyah;140;102;152;100
RUM;Rum;30;160;203;100
ALG;Algiers;230;225;110;100
FEZ;Fez;224;146;113;100
MAM;Burgi;188;166;93;100
MOR;Morocco;191;110;62;100
TRP;Tripoli;25;105;90;100
TUN;Tunisia;146;134;57;100
EGY;Egypt;255;220;104;100
KBA;Kabylia;60;140;70;100
TFL;Tafilalt;140;45;100;100
SOS;Sus;255;255;240;100
TLC;Tlemcen;57;160;101;100
TGT;Touggourt;90;140;190;100
GHD;Ghadames;255;133;15;100
FZA;Fezzan;113;176;151;100
MZB;Mzab;185;172;208;100
SLE;Sale;246;103;94;100
TET;Tetouan;63;82;1;100
MRK;Marrakesh;84;242;223;100
KZH;Kazakh;202;217;170;100
KHI;Khiva;210;175;60;100
SHY;Shaybanid;89;134;166;100
KOK;Kokkand;40;75;175;100
BUK;Bukhara;255;134;0;100
AFG;Afghanistan;102;128;52;100
KHO;Khorasan;130;168;224;100
PER;Persia;62;129;20;100
ERS;Eranshahr;101;46;137;100
QAR;QaraKoyunlu;54;117;136;100
TIM;Timurid;213;0;39;100
TRS;Transoxiana;49;185;191;100
KRY;Gilan;215;208;14;100
CIR;Circassia;42;107;17;100
GAZ;Gazikumukh;162;93;31;100
IME;Imereti;36;132;247;100
TAB;Tabarestan;217;144;88;100
ORM;Ormuz;234;233;124;100
LRI;Luristan;207;213;47;100
SIS;Sistan;224;74;54;100
BPI;Biapas;229;153;34;100
FRS;Fars;232;206;255;100
KRM;Kerman;104;189;104;100
YZD;Yazd;239;164;19;100
ISF;Isfahan;21;19;65;100
TBR;Tabriz;212;80;154;100
BSR;Basra;103;121;136;100
MGR;Maregh;252;209;22;100
QOM;Qom;107;107;225;100
AZT;Aztec;48;149;21;100
CHE;Cherokee;105;145;40;100
CHM;Chimu;39;123;126;100
CRE;Creek;108;139;208;100
HUR;Huron;178;139;60;100
INC;Inca;125;92;110;100
IRO;Iroquois;87;182;80;100
MAY;Maya;94;136;191;100
SHA;Shawnee;212;105;118;100
ZAP;Zapotec;158;118;120;100
ASH;Ashanti;97;98;195;100
BEN;Benin;110;173;129;100
ETH;Ethiopia;56;120;191;100
KON;Kongo;199;160;139;100
MAL;Mali;255;255;185;100
NUB;Funj;84;80;152;100
SON;Songhai;62;175;151;100
ZAN;Swahili;81;141;85;100
ZIM;Mutapa;186;164;78;100
ADA;Adal;145;70;130;100
HAU;Hausa;48;169;96;100
KBO;KanemBornu;30;131;162;100
LOA;Loango;200;202;85;100
OYO;Oyo;211;184;179;100
SOF;Sofala;55;108;158;100
SOK;Sokoto;201;19;70;100
JOL;Jolof;215;215;125;100
SFA;SofalaSwa;249;140;15;100
MBA;Mombasa;169;54;54;100
MLI;Malindi;153;210;135;100
AJU;Ajuuraan;230;240;255;100
MDI;Mogadishu;212;175;55;100
ENA;Eneara;213;190;38;100
WGD;Wagadugu;40;152;60;100
ZND;Zandoma;184;151;191;100
GUR;Gurma;71;133;178;100
TEN;Tenkodogo;234;121;123;100
OGD;Ogaadeen;169;168;101;100
ZUL;Zulu;177;12;12;100
SOM;Somalia;54;145;171;100
AKS;Aksumite Empire;110;120;191;100
GZI;Great Zimbabwe;255;211;0;100
NBI;Nubia;81;58;223;100
RZI;Rozwi;204;121;68;100
KIT;Kitara;255;225;57;100
WAD;Wadai;166;161;139;100
AFA;Afar;125;100;220;100
ALO;Alodia;135;144;180;100
DAR;Darfur;44;160;70;100
GLE;Geledi;38;160;67;100
HAR;Harar;175;75;15;100
HOB;Hobyo;255;73;7;100
KAF;Kaffa;150;0;25;100
MED;Medri Bahri;23;114;60;100
MJE;Majeerteen;220;200;100;100
MRE;Marehan;6;42;120;100
PTE;Pate;104;111;208;100
WAR;Warsangali;18;97;128;100
BTI;Semien;232;121;145;100
BEJ;Beja;228;243;104;100
JIM;Jima;239;67;67;100
WLY;Welayta;202;200;175;100
DAM;Damot;243;106;0;100
HDY;Hadiya;181;215;25;100
SOA;Shewa;1;200;200;100
JJI;Janjero;149;133;207;100
ABB;Dongola;50;162;50;100
TYO;Tyo;99;160;139;100
SYO;Soyo;199;60;139;100
KSJ;Kasanje;199;160;39;100
LUB;Luba;97;209;251;100
LND;Lunda;199;60;39;100
CKW;Chokwe;99;160;39;100
KIK;Kikondja;99;60;39;100
KZB;Kazembe;199;160;239;100
YAK;Yaka;99;160;239;100
KLD;Kalundwe;99;60;239;100
KUB;Kuba;159;60;189;100
RWA;Rwanda;213;160;18;100
BUU;Burundi;21;191;16;100
BUG;Buganda;21;21;227;100
NKO;Nkore;124;212;121;100
KRW;Karagwe;48;177;169;100
BNY;Bunyoro;174;24;66;100
BSG;Basoga;213;185;110;100
UBH;Buha;22;92;22;100
MRA;Maravi;169;34;34;100
LDU;Lundu;114;30;229;100
TBK;Tumbuka;161;224;201;100
MKU;Makua;147;146;62;100
RZW;Butua;181;45;45;100
MIR;Merina;0;0;0;100
SKA;Sakalava;0;0;0;100
BTS;Betsimisaraka;0;0;0;100
MFY;Mahafaly;187;96;193;100
ANT;Antemoro;51;183;51;100
ANN;Annam;186;14;92;100
ARK;Arakan;212;211;151;100
ATJ;Atjeh;88;137;172;100
AYU;Ayutthaya;60;152;70;100
BLI;Bali;201;97;74;100
BAN;Banten;130;25;74;100
BEI;Brunei;41;89;174;100
CHA;Champa;53;151;151;100
CHG;ChagataiKhanate;87;92;104;100
CHK;Champassak;139;131;162;100
DAI;DaiViet;136;117;90;100
JAP;Japan;194;53;60;100
AMA;Amago;205;94;60;100
ASA;Asakura;56;180;139;100
CSK;Chosokabe;115;75;62;100
DTE;Date;105;176;118;100
HJO;Hojo;39;74;120;100
HSK;Hosokawa;49;103;69;100
HTK;Hatakeyama;105;130;27;100
IKE;Ikeda;178;140;110;100
IMG;Imagawa;220;203;24;100
MAE;Maeda;144;121;173;100
MRI;Mori;230;180;34;100
ODA;Oda;224;4;27;100
OTM;Otomo;123;71;65;100
OUC;Ouchi;216;145;145;100
SBA;Shiba;0;163;175;100
SMZ;Shimazu;101;49;142;100
TKD;Takeda;234;85;6;100
TKG;Tokugawa;47;93;80;100
UES;Uesugi;200;200;200;100
YMN;Yamana;140;72;128;100
RFR;Nanbu;39;100;157;100
ASK;Ashikaga;162;32;65;100
KTB;Kitabatake;113;104;108;100
ANU;Ainu;201;197;124;100
AKM;Akamatsu;137;195;235;100
AKT;Ando;200;85;84;100
CBA;Chiba;32;55;68;100
ISK;Isshiki;47;155;224;100
ITO;Ito;71;74;77;100
KKC;Kikuchi;248;184;98;100
KNO;Kono;22;94;131;100
OGS;Ogasawara;201;126;145;100
SHN;Shoni;89;185;198;100
STK;Satake;2;135;96;100
TKI;Toki;86;84;162;100
UTN;Utsunomiya;222;183;97;100
TTI;Tsutsui;88;56;34;100
KHA;MongolKhanate;108;153;65;100
KHM;Khmer;127;180;60;100
KOR;Korea;26;53;177;100
LNA;LanNa;74;92;128;100
LUA;LuangPrabang;93;147;88;100
LXA;LanXang;210;46;28;100
MAJ;Majapahit;201;28;54;100
MCH;Manchu;165;132;57;100
MKS;Makassar;117;179;128;100
MLC;Malacca;100;96;197;100
MNG;Ming;179;128;104;100
MTR;Mataram;227;162;94;100
OIR;OiratHorde;204;184;177;100
PAT;Pattani;140;134;164;100
PEG;Pegu;140;210;160;100
QNG;Qing;237;152;18;100
RYU;Ryukyu;90;138;133;100
SST;Shan;250;240;215;100
SUK;Sukhothai;159;127;255;100
SUL;Sulu;89;164;144;100
TAU;Taungu;232;214;9;100
TIB;Tibet;177;207;205;100
TOK;Tonkin;81;144;126;100
VIE;Vientiane;151;174;28;100
CZH;Zhou;209;212;126;100
CSH;Shun;140;169;183;100
CXI;Xi;140;183;154;100
YUA;GreatYuan;188;18;18;100
FRM;Formosa;218;234;15;100
ILK;Ilkhanate;232;48;2;100
KLM;Kalmyk;58;65;73;100
MGE;MongolEmpire;130;180;240;100
SOO;So;0;0;0;100
NVK;Nivkh;0;0;0;100
SOL;Solon;0;0;0;100
EJZ;EastJianzhou;0;0;0;100
NHX;NorthHaixi;0;0;0;100
MYR;Yeren;16;156;27;100
MHX;Haixi;152;167;237;100
MJZ;Jianzhou;65;32;57;100
KRC;Khorchin;221;93;170;100
KLK;Khalkha;224;104;83;100
HMI;Karadel;118;193;177;100
ZUN;Zunghar;129;97;62;100
KAS;Yarkand;255;245;220;100
CHH;Chahar;140;163;128;100
KSD;Khoshuud;255;101;38;100
SYG;Sarigyogir;219;206;94;100
UTS;Utsang;38;101;255;100
KAM;Mdokhams;33;168;103;100
GUG;Guge;50;37;125;100
PHA;Phagmodrupa;93;102;151;100
CDL;Dali;245;245;220;100
CYI;Yi;205;104;18;100
CMI;Miao;0;103;165;100
MIN;Min;206;235;209;100
YUE;Yue;89;113;223;100
SHU;Shu;167;33;62;100
NNG;Ning;113;221;248;100
CHC;Chu;251;168;196;100
TNG;Tang;208;119;102;100
WUU;Wu;126;87;198;100
QIC;Qi;58;168;113;100
YAN;Yan;219;44;21;100
JIN;Jin;229;222;20;100
LNG;Liang;106;97;104;100
QIN;Qin;39;125;143;100
HUA;Huai;132;207;191;100
CGS;Changsheng;51;215;51;100
BAL;Baluchistan;175;82;16;100
BNG;Bengal;36;109;194;100
BIJ;Bijapur;40;121;66;100
BAH;Bahmanis;49;175;191;100
DLH;Delhi;157;200;42;100
GOC;Golconda;183;176;94;100
DEC;Deccan;89;141;140;100
MAR;Marathas;67;124;181;100
MUG;Mughal;33;96;48;100
MYS;Mysore;236;242;243;100
VIJ;Vijaynagara;246;196;24;100
AHM;Ahmadnagar;74;87;138;100
ASS;Assam;163;5;77;100
GUJ;Gujarat;231;224;107;100
JNP;Jaunpur;100;94;125;100
MAD;Madurai;233;88;88;100
MLW;Malwa;192;5;24;100
MAW;Marwar;192;111;179;100
MER;Mewar;139;131;22;100
MUL;Multan;95;139;214;100
NAG;Nagpur;215;86;0;100
NPL;Nepal;215;12;64;100
ORI;Orissa;210;106;47;100
PUN;Punjab;187;79;86;100
SND;Sind;135;104;85;100
BRR;Berar;26;207;81;100
JAN;Jangladesh;59;51;29;100
KRK;Carnatic;232;79;142;100
GDW;Gondwana;224;146;113;100
GRJ;Garjat;110;136;66;100
GWA;Gwalior;153;237;145;100
DHU;Dhundhar;98;110;96;100
KSH;Kashmir;63;150;30;100
KLN;Keladi;156;129;33;100
KHD;Khandesh;138;151;103;100
ODH;Oudh;122;179;97;100
VND;Venad;134;166;117;100
MAB;Malabar;61;155;32;100
MEW;Mewat;107;21;196;100
BDA;Baroda;245;139;127;100
BST;Bastar;21;50;212;100
BHU;Bhutan;93;180;76;100
BND;Bundelkhand;23;114;143;100
CEY;Ceylon;60;123;65;100
JSL;Jaisalmer;119;151;122;100
KAC;Kachar;63;20;177;100
KMT;Koch;163;66;74;100
KGR;Kangra;29;124;255;100
KAT;Kathiawar;212;84;55;100
KOC;Kochin;255;188;225;100
MLB;Manipur;149;191;117;100
HAD;Hadoti;119;25;21;100
NGA;Nagaur;249;160;55;100
RMP;Rohilkandh;89;84;255;100
LDK;Ladakh;23;110;90;100
BGL;Bagelkhand;123;14;148;100
JFN;Jaffna;237;139;0;100
PTA;Patiala;229;231;26;100
GHR;Garhwal;60;154;135;100
CHD;Chanda;165;167;29;100
NGP;Jharkhand;129;161;87;100
JAJ;Janjira;124;62;183;100
TRT;Tirhut;50;166;72;100
CMP;RewaKantha;69;131;62;100
BGA;Baglana;131;52;76;100
TPR;Tripura;211;95;73;100
SDY;Sadiya;63;115;37;100
BHA;Bharat;80;165;10;100
YOR;Andhra;47;132;124;100
DGL;Maldives;191;25;25;100
MBL;Bishnupur;81;177;137;100
SKK;Sikkim;93;180;76;100
IDR;Idar;31;102;187;100
JLV;Jhalavad;208;157;33;100
PTL;Palitana;237;204;20;100
NVR;Navanagar;145;84;183;100
RJK;Rajkot;20;237;86;100
JGD;Junagarh;200;229;237;100
PRB;Porbandar;181;36;203;100
PAN;Panna;254;254;0;100
KLP;Kalpi;23;14;93;100
SBP;Sambalpur;116;207;75;100
PTT;Patna;114;25;100;100
RTT;Ratanpur;66;126;118;100
KLH;Kalahandi;93;183;140;100
KJH;Keonhjar;237;204;3;100
PRD;Parlakhimidi;31;145;217;100
JPR;Jeypore;237;174;221;100
SRG;Surguja;60;222;75;100
KND;Kandy;43;148;246;100
TLG;Telingana;158;164;225;100
KLT;Kolathunad;188;21;64;100
DNG;Dang;213;194;66;100
DTI;Doti;231;152;79;100
GRK;Gorkha;137;183;124;100
JML;Jumla;226;252;82;100
LWA;Limbuwan;181;114;3;100
MKP;Makwanpur;18;59;115;100
SRM;Sirmur;229;69;12;100
KTU;Kathmandu;173;141;158;100
KMN;Kumaon;135;219;135;100
GNG;Gingee;62;39;142;100
TNJ;Tanjore;203;32;82;100
SRH;Sirhind;249;120;3;100
RJP;Rajputana;49;13;22;100
BAR;Bar;178;163;143;100
HSA;Hansa;156;179;189;100
SMO;Smolensk;106;160;43;100
NZH;NizhnyNovgorod;176;72;77;100
KOJ;Jerusalem;211;230;211;100
MSA;Malaya;80;10;165;100
HIN;Hindustan;235;255;220;100
ABE;Abenaki;49;115;90;100
APA;Apache;198;158;109;100
ASI;Assiniboine;25;123;48;100
BLA;Blackfoot;102;153;255;100
CAD;Caddo;125;32;29;100
CHI;Chickasaw;160;80;16;100
CHO;Choctaw;0;46;59;100
CHY;Cheyenne;150;50;10;100
COM;Comanche;96;57;19;100
FOX;Fox;242;101;34;100
ILL;Illinewek;129;214;238;100
LEN;Lenape;76;110;150;100
MAH;Mahican;148;150;28;100
MIK;Mikmaq;110;48;50;100
MMI;Miami;110;124;156;100
NAH;Navajo;126;180;154;100
OJI;Ojibwa;235;229;233;100
OSA;Osage;251;245;104;100
OTT;Ottawa;1;48;21;100
PAW;Pawnee;46;49;146;100
PEQ;Pequot;28;70;150;100
PIM;Pima;163;98;9;100
POT;Potawatomi;60;184;120;100
POW;Powhatan;255;247;153;100
PUE;Pueblo;162;128;8;100
SHO;Shoshone;124;69;49;100
SIO;Sioux;68;14;98;100
SUS;Susquehannock;126;24;62;100
WCR;Cree;28;187;180;100
AIR;Air;30;31;162;100
BON;Bonoman;163;40;25;100
DAH;Dahomey;11;84;179;100
DGB;Dagbon;171;160;31;100
FUL;Fulo;245;135;25;100
JNN;Jenne;55;158;198;100
KAN;Kano;48;193;241;100
KBU;Kaabu;255;55;185;100
KNG;Kong;137;98;195;100
KTS;Katsina;148;249;196;100
MSI;Mossi;27;128;45;100
NUP;Nupe;211;84;79;100
TMB;Timbuktu;230;231;62;100
YAO;Yao;130;31;72;100
YAT;Yatenga;77;231;25;100
ZAF;Zafunu;155;88;127;100
ZZZ;Zazzau;138;22;59;100
NDO;Ndongo;99;60;139;100
AVA;Ava;98;138;99;100
HSE;Hsenwi;220;61;104;100
JOH;Johor;30;112;187;100
KED;Kedah;170;72;67;100
LIG;Ligor;16;114;124;100
MPH;MuanPhuang;170;76;48;100
MYA;MongYang;41;82;175;100
PRK;Perak;76;122;117;100
MMA;MongMao;27;109;107;100
MKA;MongKawng;44;51;65;100
MPA;MongPai;78;35;16;100
MNI;MongNai;172;164;6;100
KAL;Kale;148;182;3;100
HSI;Hsipaw;186;147;251;100
BPR;Prome;155;3;22;100
CHU;Chukchi;98;94;163;100
HOD;Hodyntsy;163;182;143;100
CHV;Chavchuveny;131;146;194;100
KMC;Kamchadals;182;143;149;100
BRT;Buryats;70;130;180;100
ARP;Arapaho;121;10;65;100
CLM;Colima;198;149;21;100
CNK;Chinook;121;10;15;100
COC;Cocomes;194;236;91;100
HDA;Haida;20;191;20;100
ITZ;Itza;94;236;191;100
KIC;Kiche;94;36;191;100
KIO;Kiowa;121;210;115;100
MIX;Mixtec;158;18;120;100
SAL;Salish;0;74;128;100
TAR;Tarascan;158;18;20;100
TLA;Tlapanec;58;118;120;100
TLX;Tlaxcala;148;149;21;100
TOT;Totonac;48;49;121;100
WIC;Wichita;121;10;215;100
XIU;Xiu;94;236;91;100
BLM;Blambangan;168;62;31;100
BTN;Buton;209;203;31;100
CRB;Cirebon;233;83;70;100
DMK;Demak;211;211;78;100
PGR;Pagarruyung;255;186;0;100
PLB;Palembang;163;68;149;100
PSA;Pasai;226;81;93;100
SAK;Siak;21;196;68;100
SUN;Sunda;32;131;135;100
KUT;Kutai;178;116;221;100
BNJ;Banjar;171;175;40;100
LFA;Lanfang;43;165;157;100
LNO;Lanao;44;104;150;100
LUW;Luwu;132;133;197;100
MGD;Maguindanao;119;32;29;100
TER;Ternate;176;232;64;100
TID;Tidore;135;186;186;100
MAS;Madyaas;208;145;55;100
PGS;Pangasinan;69;22;59;100
TDO;Tondo;123;122;20;100
MNA;Maynila;56;32;120;100
CEB;Cebu;45;215;45;100
BTU;Butuan;129;222;235;100
CSU;Cusco;229;64;64;100
CCQ;Calchaqui;74;44;126;100
MPC;Mapuche;225;71;35;100
MCA;Muisca;162;182;64;100
QTO;Quito;196;126;126;100
CJA;Cajamarca;162;123;64;100
HJA;Huyla;41;123;73;100
PTG;Potiguara;31;164;122;100
TPQ;Tupiniquim;212;111;84;100
TPA;Tupinamba;157;209;192;100
TUA;Tapuia;193;180;66;100
GUA;Guarani;193;90;66;100
CUA;Charrua;174;151;145;100
WKA;Wanka;224;214;157;100
CYA;Chachapoya;157;199;224;100
CLA;Colla;188;234;158;100
CRA;Charca;198;131;244;100
PCJ;Pacajes;126;147;196;100
ARW;Arawak;102;120;225;100
CAB;Carib;52;120;25;100
ICM;Ichma;165;10;35;100
MAT;Matlatzinca;78;149;191;100
