id;territory_type;r;g;b;name;owner
163;land;114;206;11;NONE;SAV
164;land;143;18;30;NONE;NONE
165;land;149;118;226;NONE;NONE
166;land;237;183;13;NONE;NOV
167;land;196;29;254;NONE;SIL
168;land;99;69;28;NONE;NONE
169;land;231;121;141;NONE;TIB
170;land;203;201;159;NONE;NONE
171;land;204;26;182;NONE;NONE
172;land;85;43;191;NONE;JAP
173;land;213;17;190;NONE;CAS
174;land;90;235;11;NONE;NONE
175;land;191;144;10;NONE;NONE
176;land;56;232;158;NONE;MNG
177;land;176;124;94;NONE;NONE
178;land;143;194;32;NONE;PRO
179;land;251;235;35;NONE;SAV
180;land;61;147;146;NONE;NONE
181;land;178;201;231;NONE;MNG
182;land;201;42;11;NONE;NONE
183;land;248;243;230;NONE;KHA
184;land;92;4;83;NONE;NAV
185;land;72;56;230;NONE;NONE
186;land;2;140;12;NONE;NONE
187;land;146;65;150;NONE;NONE
188;land;109;24;232;NONE;NONE
189;land;102;124;225;NONE;NONE
190;land;77;136;10;NONE;TUR
191;land;27;248;38;NONE;JAP
192;land;211;168;11;NONE;NONE
193;land;161;129;213;NONE;NONE
194;land;240;221;59;NONE;NONE
195;land;67;8;42;NONE;NONE
196;land;65;225;91;NONE;INC
197;land;239;239;214;NONE;TIM
198;land;102;204;232;NONE;EGY
199;land;108;172;233;NONE;NONE
200;land;9;165;60;NONE;KHA
201;land;76;253;34;NONE;INC
202;land;47;88;109;NONE;NONE
203;land;81;199;241;NONE;NAP
204;land;189;137;229;NONE;POL
205;land;138;232;135;NONE;NONE
206;land;137;220;178;NONE;NONE
207;land;27;70;65;NONE;INC
208;land;228;244;216;NONE;NONE
209;land;179;72;154;NONE;VER
210;land;68;184;162;NONE;TIM
211;land;40;114;18;NONE;TIM
212;land;1;146;203;NONE;NONE
213;land;44;166;109;NONE;SWE
214;land;0;24;95;NONE;NAP
215;land;221;233;52;NONE;NONE
216;land;250;235;57;NONE;TEU
217;land;189;219;253;NONE;EGY
218;land;149;251;230;NONE;NONE
219;land;38;176;173;NONE;NOG
220;land;202;228;144;NONE;NONE
221;land;91;116;124;NONE;NONE
222;mountain;104;96;88;NONE;NONE
223;land;87;227;133;NONE;NONE
224;land;211;138;130;NONE;NONE
225;land;220;154;143;NONE;MNG
226;land;228;172;214;NONE;NOG
227;land;104;127;65;NONE;NONE
228;land;168;169;147;NONE;NONE
229;land;137;225;88;NONE;SLZ
230;land;152;2;225;NONE;NONE
231;land;52;140;29;NONE;MNG
232;land;166;148;219;NONE;NONE
233;land;25;24;19;NONE;DLI
234;land;116;204;78;NONE;POL
235;land;172;127;254;NONE;NONE
236;land;137;211;243;NONE;NONE
237;land;200;122;52;NONE;NONE
238;land;166;105;72;NONE;NONE
239;land;212;3;63;NONE;MUN
240;land;227;168;99;NONE;NONE
241;mountain;114;56;34;NONE;NONE
242;land;189;22;112;NONE;NONE
243;land;230;120;166;NONE;NOG
244;land;251;23;144;NONE;NONE
245;land;252;104;108;NONE;NONE
246;land;182;64;138;NONE;KOR
247;land;79;194;64;NONE;GOL
248;land;134;167;233;NONE;NONE
249;land;181;242;254;NONE;SWE
250;land;101;52;184;NONE;DLI
251;land;24;141;250;NONE;NONE
252;land;216;144;234;NONE;MNG
253;land;149;65;108;NONE;JAP
254;land;74;113;231;NONE;NONE
255;land;45;206;236;NONE;NONE
256;land;113;183;172;NONE;NONE
257;land;193;191;111;NONE;DLI
258;land;128;89;245;NONE;NONE
259;land;51;153;44;NONE;NONE
260;land;242;238;22;NONE;SWE
261;land;122;87;144;NONE;NONE
262;land;191;215;158;NONE;NONE
263;land;215;86;33;NONE;NONE
264;land;29;97;138;NONE;NONE
265;land;191;80;174;NONE;KHA
266;land;102;52;16;NONE;SWE
267;land;146;148;237;NONE;HUN
268;land;172;246;14;NONE;NONE
269;land;237;79;141;NONE;MNG
270;land;147;99;196;NONE;INC
271;land;252;200;172;NONE;CRO
272;land;26;111;35;NONE;POL
273;land;35;49;100;NONE;NONE
274;land;134;249;32;NONE;NONE
275;land;56;236;235;NONE;HUN
276;land;164;210;103;NONE;LIT
277;land;28;131;197;NONE;MUN
278;land;134;178;111;NONE;NONE
279;land;147;12;129;NONE;SER
280;land;99;255;122;NONE;NONE
281;land;129;113;211;NONE;NONE
282;land;197;159;125;NONE;DLI
283;land;34;190;195;NONE;NONE
284;land;62;161;108;NONE;NONE
285;land;189;10;115;NONE;SWE
286;land;77;109;60;NONE;NONE
287;land;237;217;161;NONE;DLI
288;land;57;187;101;NONE;TUR
289;land;170;215;87;NONE;NONE
290;land;68;100;118;NONE;NONE
291;land;13;49;33;NONE;CRI
292;land;254;187;13;NONE;NONE
293;land;25;177;134;NONE;NONE
294;land;29;165;17;NONE;TIM
295;land;45;36;109;NONE;NONE
296;land;22;170;57;NONE;NONE
297;land;49;19;178;NONE;NONE
298;land;123;132;141;NONE;EGY
299;land;207;182;39;NONE;NONE
300;land;12;171;192;NONE;SAV
301;land;60;102;38;NONE;TIM
302;land;205;194;221;NONE;NONE
303;land;105;54;223;NONE;BOH
304;land;196;143;216;NONE;NONE
305;land;81;183;190;NONE;GEN
306;land;208;14;22;NONE;GEN
307;land;248;162;114;NONE;DAN
308;land;160;175;171;NONE;ENG
309;land;151;59;8;NONE;NONE
310;land;34;132;8;NONE;NONE
311;land;89;38;59;NONE;INC
312;land;3;140;217;NONE;DLI
313;land;80;161;55;NONE;NONE
314;land;118;236;173;NONE;STE
315;land;163;201;27;NONE;NOR
316;land;2;255;118;NONE;NONE
317;land;51;239;229;NONE;NONE
318;land;30;245;213;NONE;NONE
319;land;231;54;201;NONE;EGY
320;land;76;208;68;NONE;HUN
321;land;97;168;32;NONE;TIB
322;land;25;79;75;NONE;TUR
323;land;210;71;176;NONE;LIT
324;land;122;62;74;NONE;DAN
325;land;3;119;152;NONE;NONE
326;land;56;12;252;NONE;ENG
327;land;99;163;136;NONE;ETH
328;land;70;237;125;NONE;NONE
329;land;173;60;208;NONE;MNG
330;land;130;251;35;NONE;INC
331;land;26;87;195;NONE;NONE
332;land;108;33;116;NONE;DMS
333;land;76;235;106;NONE;NONE
334;land;160;113;9;NONE;NONE
335;land;32;83;27;NONE;MNG
336;land;97;241;233;NONE;NONE
337;land;83;7;63;NONE;KHA
338;land;137;192;147;NONE;NONE
339;land;5;74;160;NONE;JAP
340;land;13;212;37;NONE;MLO
341;land;241;156;35;NONE;STY
342;land;200;153;190;NONE;LIT
343;land;4;201;147;NONE;MNG
344;land;45;178;47;NONE;DLI
345;land;75;166;23;NONE;NONE
346;land;140;60;174;NONE;NONE
347;land;175;71;91;NONE;NONE
348;land;63;54;135;NONE;NONE
349;land;198;91;59;NONE;NONE
350;land;86;229;236;NONE;PIS
351;land;152;165;51;NONE;KHA
352;land;68;71;6;NONE;MNG
353;land;39;201;107;NONE;QAR
354;land;182;158;13;NONE;NONE
355;land;124;53;35;NONE;NONE
356;land;5;71;2;NONE;EGY
357;land;160;71;50;NONE;NONE
358;land;190;155;177;NONE;NONE
359;land;127;113;29;NONE;SIL
360;land;227;237;213;NONE;QAR
361;land;184;97;223;NONE;NONE
362;land;191;36;43;NONE;NONE
363;land;22;243;50;NONE;NONE
364;land;142;13;28;NONE;GOT
365;land;24;194;155;NONE;DAN
366;land;7;36;54;NONE;DLI
367;land;189;95;66;NONE;NONE
368;land;254;83;146;NONE;NONE
369;land;196;204;254;NONE;NONE
370;land;88;212;165;NONE;NONE
371;land;241;83;105;NONE;MOS
372;land;153;179;157;NONE;NONE
373;land;148;240;197;NONE;ENG
374;land;193;30;70;NONE;LIT
375;land;72;238;190;NONE;NONE
376;land;93;121;222;NONE;NONE
377;land;205;80;10;NONE;EGY
378;land;167;144;203;NONE;KHA
379;land;176;158;132;NONE;ETH
380;land;142;55;188;NONE;NONE
381;land;200;206;164;NONE;POL
382;land;5;68;246;NONE;MOL
383;land;69;9;217;NONE;MNG
384;land;42;115;64;NONE;NONE
385;land;238;82;206;NONE;JAP
386;land;86;59;242;NONE;NONE
387;land;92;90;111;NONE;PAL
388;land;127;49;52;NONE;NONE
389;land;44;2;163;NONE;MOS
390;land;164;162;20;NONE;NONE
391;land;44;1;25;NONE;LBV
392;land;235;64;114;NONE;POL
393;land;175;97;82;NONE;GOL
394;land;69;203;166;NONE;THU
395;land;116;18;193;NONE;ENG
396;land;162;97;113;NONE;MNG
397;land;234;109;237;NONE;NONE
398;land;233;206;144;NONE;JAP
399;land;246;174;12;NONE;TIM
400;land;202;50;81;NONE;MNG
401;land;110;177;53;NONE;NONE
402;land;185;67;37;NONE;NONE
403;land;169;45;18;NONE;CIR
404;land;236;77;149;NONE;NONE
405;land;89;227;49;NONE;NONE
406;land;209;18;201;NONE;KHA
407;land;46;40;176;NONE;NONE
408;land;90;153;0;NONE;NONE
409;land;33;79;147;NONE;CAS
410;land;92;116;239;NONE;AZT
411;land;54;29;44;NONE;NONE
412;land;220;179;133;NONE;GOL
413;land;71;11;134;NONE;NONE
414;land;252;113;102;NONE;FRA
415;land;91;196;155;NONE;NONE
416;land;162;0;185;NONE;LIT
417;land;43;243;41;NONE;NONE
418;land;135;81;86;NONE;DLI
419;land;198;249;209;NONE;NONE
420;land;158;199;31;NONE;NONE
421;land;36;46;70;NONE;NONE
422;land;65;158;37;NONE;INC
423;land;131;153;134;NONE;NONE
424;land;81;190;0;NONE;CRO
425;land;56;22;3;NONE;NONE
426;land;19;138;231;NONE;NONE
427;land;254;139;100;NONE;MNG
428;land;71;163;66;NONE;EGY
429;land;23;141;219;NONE;TUR
430;land;30;191;51;NONE;QAR
431;land;198;14;178;NONE;MOS
432;land;193;168;4;NONE;NONE
433;land;69;94;55;NONE;NONE
434;land;226;59;145;NONE;KID
435;land;170;195;193;NONE;NONE
436;land;207;65;137;NONE;NONE
437;land;147;63;39;NONE;MNG
438;land;236;219;152;NONE;CAS
439;land;116;248;181;NONE;GOL
440;land;33;249;237;NONE;MNG
441;land;151;52;25;NONE;MAL
442;mountain;139;109;154;NONE;NONE
443;land;44;16;243;NONE;TUN
444;land;176;211;145;NONE;TUR
445;land;50;134;145;NONE;GOL
446;land;17;186;0;NONE;NONE
447;land;123;163;55;NONE;NONE
448;land;192;8;11;NONE;NONE
449;land;218;227;67;NONE;LIT
450;land;5;126;252;NONE;GOL
451;land;191;102;76;NONE;SWE
452;land;157;245;71;NONE;PRO
453;land;186;47;140;NONE;NONE
454;land;101;28;244;NONE;NONE
455;land;186;104;111;NONE;NONE
456;land;90;120;119;NONE;ATH
457;land;71;97;75;NONE;NONE
458;land;72;157;179;NONE;ENG
459;land;96;222;43;NONE;NONE
460;land;53;4;191;NONE;NONE
461;land;253;216;182;NONE;NONE
462;land;168;224;9;NONE;DLI
463;land;181;233;90;NONE;NONE
464;land;37;141;79;NONE;TUR
465;land;64;228;47;NONE;NONE
466;land;128;46;139;NONE;CYP
467;land;49;135;213;NONE;NONE
468;land;18;203;112;NONE;MAL
469;land;0;129;71;NONE;NONE
470;land;222;118;123;NONE;NONE
471;land;72;101;243;NONE;NONE
472;land;71;138;85;NONE;KHA
473;land;83;197;95;NONE;ENG
474;land;67;204;87;NONE;NONE
475;land;108;14;75;NONE;NONE
476;land;198;9;95;NONE;NOV
477;land;159;214;32;NONE;NOR
478;land;54;113;160;NONE;FRA
479;land;180;66;225;NONE;NONE
480;land;199;189;5;NONE;MNG
481;land;142;221;108;NONE;DLI
482;land;6;185;3;NONE;NONE
483;land;49;28;54;NONE;DLI
484;land;246;14;198;NONE;NONE
485;land;238;138;38;NONE;NONE
486;land;92;204;92;NONE;NONE
487;land;148;133;79;NONE;ETH
488;land;240;3;138;NONE;BAD
489;land;247;161;150;NONE;NONE
490;land;129;75;111;NONE;MNG
491;land;90;195;117;NONE;NONE
492;land;250;150;212;NONE;MNG
493;land;246;221;192;NONE;NONE
494;land;147;229;144;Galicia;CAS
495;land;4;157;191;NONE;NONE
496;land;42;237;177;NONE;NONE
497;land;47;118;40;NONE;KHA
498;land;120;199;126;NONE;NONE
499;land;201;241;68;NONE;ENG
500;land;168;145;105;NONE;ENG
501;land;230;255;110;NONE;NONE
502;land;53;35;87;NONE;POL
503;land;66;105;183;NONE;GOL
504;land;225;3;12;NONE;SWE
505;land;207;217;78;NONE;NONE
506;land;151;77;120;NONE;UBV
507;land;182;68;9;NONE;NONE
508;land;130;216;62;NONE;TUR
509;land;250;96;131;NONE;NONE
510;land;66;146;106;NONE;LBV
511;land;193;242;204;NONE;NONE
512;land;87;45;181;NONE;INC
513;land;248;97;94;NONE;MOS
514;land;229;173;89;NONE;MOR
515;land;35;168;249;NONE;AZT
516;land;54;20;183;NONE;AZT
517;land;150;200;178;NONE;TIM
518;land;68;55;165;NONE;POL
519;land;174;41;78;NONE;NONE
520;land;73;70;176;NONE;NOG
521;land;39;202;206;NONE;HUN
522;land;108;3;95;NONE;POR
523;land;71;2;178;NONE;NONE
524;land;22;25;46;NONE;NONE
525;land;180;190;186;NONE;NONE
526;land;139;86;64;NONE;NONE
527;land;232;131;101;NONE;NONE
528;land;3;225;87;NONE;NONE
529;land;48;31;128;NONE;NONE
530;land;75;160;186;NONE;NONE
531;land;135;213;61;NONE;ALS
532;land;204;42;183;NONE;FRA
533;land;154;144;209;NONE;NONE
534;land;182;124;7;NONE;NONE
535;land;68;251;40;NONE;NONE
536;land;221;52;124;NONE;NONE
537;land;68;91;216;NONE;NONE
538;land;34;134;44;NONE;NONE
539;land;65;4;176;NONE;NONE
540;land;84;66;55;NONE;NONE
541;land;86;187;17;NONE;INC
542;land;245;250;193;NONE;POL
543;land;203;118;46;NONE;NONE
544;land;52;84;179;NONE;BRU
545;land;90;51;195;NONE;LIT
546;land;76;195;231;NONE;KHA
547;land;77;8;214;NONE;NONE
548;land;85;51;3;NONE;KOR
549;land;99;18;89;NONE;MNG
550;land;250;82;202;NONE;NONE
551;land;46;246;54;NONE;LIT
552;land;13;31;254;NONE;INC
553;land;163;181;137;NONE;NONE
554;land;167;253;244;NONE;NOR
555;land;103;55;241;NONE;NONE
556;land;123;187;61;NONE;NONE
557;land;144;209;248;NONE;GOL
558;land;115;167;142;NONE;DLI
559;land;33;211;112;NONE;MNG
560;land;208;121;148;NONE;SWE
561;land;54;179;35;NONE;NONE
562;land;73;165;11;NONE;DLI
563;land;59;46;7;NONE;NONE
564;land;10;169;238;NONE;TRI
565;land;171;121;105;NONE;MOS
566;land;157;248;181;NONE;NONE
567;land;81;167;247;NONE;NONE
568;land;190;192;57;NONE;CAS
569;land;83;205;250;NONE;NONE
570;land;52;184;40;NONE;NOV
571;land;247;178;124;NONE;NONE
572;land;152;154;237;NONE;NONE
573;land;190;41;192;NONE;DLI
574;land;52;130;212;NONE;MNG
575;land;243;22;199;NONE;VEN
576;land;12;207;239;NONE;TUR
577;land;109;167;200;NONE;NONE
578;land;211;93;222;NONE;NONE
579;land;244;64;31;NONE;INC
580;land;54;11;139;NONE;BRI
581;land;19;144;40;NONE;NONE
582;land;180;59;214;NONE;TIM
583;land;64;18;214;NONE;NONE
584;land;82;241;184;NONE;NONE
585;land;30;72;59;NONE;DLI
586;land;212;63;232;NONE;NONE
587;land;240;77;2;NONE;NONE
588;land;30;255;252;NONE;NONE
589;land;124;166;171;NONE;NONE
590;land;139;179;7;NONE;INC
591;land;2;76;185;NONE;NONE
592;land;91;19;134;NONE;TIB
593;land;255;172;64;NONE;NONE
594;land;144;68;126;NONE;ARA
595;land;216;151;159;NONE;NONE
596;land;191;163;164;NONE;ETH
597;land;176;193;204;NONE;NONE
598;land;20;251;83;NONE;NONE
599;land;230;180;253;NONE;NONE
600;land;74;54;139;NONE;LIT
601;land;74;211;203;NONE;TIB
602;land;50;69;243;NONE;MNG
603;land;12;50;120;NONE;NONE
604;land;50;59;101;NONE;NONE
605;land;57;28;246;NONE;MNG
606;land;178;198;115;NONE;CAS
607;land;252;165;182;NONE;GOL
608;land;94;131;66;NONE;NONE
609;land;229;180;190;NONE;AZT
610;land;118;89;240;NONE;NONE
611;land;219;183;118;NONE;NONE
612;land;175;40;124;NONE;NONE
613;land;91;213;219;NONE;NONE
614;land;187;19;28;NONE;NONE
615;land;217;254;90;NONE;NONE
616;land;100;101;238;NONE;NONE
617;land;165;4;25;NONE;NONE
618;land;43;137;199;NONE;PAL
619;land;88;36;144;NONE;NONE
620;land;219;235;254;NONE;NOR
621;land;73;133;166;NONE;NONE
622;land;93;47;75;NONE;NONE
623;land;194;11;187;NONE;MNG
624;land;68;7;196;NONE;NONE
625;land;96;105;120;NONE;MLO
626;land;207;116;55;NONE;NONE
627;land;225;39;9;NONE;NONE
628;land;16;249;240;NONE;NONE
629;land;182;226;201;NONE;THU
630;land;88;144;84;NONE;NONE
631;land;43;225;137;NONE;NONE
632;land;92;20;116;NONE;NONE
633;land;161;21;99;NONE;NONE
634;land;89;237;236;NONE;DAN
635;land;178;226;79;NONE;MNG
636;land;50;95;158;NONE;POL
637;land;39;99;50;NONE;NONE
638;land;219;78;107;NONE;NONE
639;land;225;233;98;NONE;NONE
640;land;249;146;88;NONE;INC
641;land;194;18;125;NONE;CAS
642;land;60;142;187;NONE;NONE
643;land;134;5;214;NONE;GOL
644;land;133;166;175;NONE;MNG
645;land;32;157;58;NONE;MOS
646;land;152;109;247;NONE;LIV
647;land;7;142;224;NONE;PAP
648;land;19;170;93;NONE;SWE
649;land;163;179;56;NONE;NONE
650;land;254;122;156;NONE;CIR
651;land;228;26;54;NONE;NONE
652;land;136;175;59;NONE;NONE
653;land;45;98;187;NONE;NONE
654;land;79;82;247;NONE;DLI
655;land;53;115;151;NONE;NOV
656;land;8;34;168;NONE;NONE
657;land;66;217;194;NONE;ARA
658;land;119;35;171;NONE;NONE
659;land;251;2;121;NONE;NONE
660;land;106;105;111;NONE;CIR
661;land;4;55;114;NONE;NONE
662;land;98;12;105;NONE;MNG
663;land;239;3;11;NONE;NONE
664;land;163;193;101;NONE;DLI
665;land;224;71;9;NONE;NONE
666;land;227;195;65;NONE;NONE
667;land;140;3;173;NONE;NOG
668;land;155;117;195;NONE;NONE
669;land;224;17;23;NONE;CAS
670;land;83;54;222;NONE;EGY
671;land;70;112;154;NONE;TIM
672;land;223;156;191;NONE;DLI
673;land;226;254;139;NONE;NONE
674;land;170;88;185;NONE;NONE
675;land;169;47;156;NONE;NONE
676;land;5;68;10;NONE;TIB
677;land;77;7;210;NONE;NONE
678;land;164;126;3;NONE;NONE
679;land;167;90;86;NONE;MOS
680;land;242;8;64;NONE;NONE
681;land;172;124;55;NONE;POR
682;land;201;108;252;NONE;NONE
683;land;253;219;75;NONE;KHA
684;land;38;159;32;NONE;NONE
685;land;229;149;145;NONE;TIM
686;land;242;128;239;NONE;NONE
687;land;206;32;139;NONE;NONE
688;land;10;0;17;NONE;EGY
689;land;76;40;131;NONE;TIB
690;land;176;240;40;NONE;NONE
691;land;72;209;117;NONE;GOL
692;land;161;8;201;NONE;EGY
693;land;201;234;83;NONE;MNG
694;land;233;136;53;NONE;NONE
695;land;30;18;35;NONE;NONE
696;land;97;140;57;NONE;JAP
697;land;193;21;249;NONE;MNG
698;land;212;168;22;NONE;NONE
699;land;244;184;237;NONE;DLI
700;land;60;65;174;NONE;LIT
701;land;19;236;180;NONE;SWE
702;land;31;31;208;NONE;NONE
703;land;248;117;224;NONE;TIM
704;land;169;97;93;NONE;NONE
705;land;57;119;219;NONE;NONE
706;land;212;4;55;NONE;NONE
707;land;80;162;196;NONE;NONE
708;land;105;116;104;NONE;NONE
709;land;209;171;220;NONE;NOG
710;land;104;58;164;NONE;NONE
711;land;89;132;228;NONE;NONE
712;land;31;95;154;NONE;DLI
713;land;125;92;161;NONE;NOV
714;land;241;142;115;NONE;TIM
715;land;95;67;244;NONE;BOS
716;land;99;215;148;NONE;NONE
717;land;8;142;88;NONE;KHA
718;land;191;212;141;NONE;MAL
719;land;131;191;34;NONE;MNG
720;land;251;55;207;NONE;NONE
721;land;153;95;162;NONE;TIM
722;land;102;120;44;NONE;INC
723;land;187;67;249;NONE;NONE
724;land;75;23;226;NONE;NONE
725;land;3;145;27;NONE;NONE
726;land;9;85;124;NONE;GEL
727;land;21;95;73;NONE;MOR
728;land;185;231;123;NONE;DLI
729;land;37;168;233;NONE;MAL
730;land;128;60;115;NONE;NONE
731;land;158;97;84;NONE;GOL
732;land;29;169;12;NONE;NONE
733;land;210;12;107;NONE;NONE
734;land;81;183;78;NONE;NONE
735;land;62;95;237;NONE;WBG
736;land;78;173;119;NONE;NONE
737;land;82;93;103;NONE;NONE
738;land;158;168;139;NONE;NONE
739;land;241;192;230;NONE;NONE
740;land;45;70;87;NONE;NONE
741;land;129;53;188;NONE;NONE
742;land;115;186;108;NONE;TUR
743;land;139;39;38;NONE;NONE
744;land;243;142;244;NONE;ARA
745;land;189;95;79;NONE;LIT
746;land;154;135;203;NONE;NONE
747;land;10;164;84;NONE;POL
748;land;148;237;121;NONE;NONE
749;land;62;245;162;NONE;NONE
750;land;130;180;84;NONE;NOV
751;land;242;34;82;NONE;BRA
752;land;86;198;157;NONE;CNN
753;land;71;42;26;NONE;KHA
754;land;111;171;67;NONE;NONE
755;land;125;191;190;NONE;QAR
756;land;143;68;238;NONE;NONE
757;land;255;178;83;NONE;LIT
758;land;183;232;32;NONE;DLI
759;land;191;36;150;NONE;NONE
760;land;59;242;223;NONE;NONE
761;land;187;155;83;NONE;AZT
762;land;105;55;210;NONE;NONE
763;land;228;244;68;NONE;NONE
764;land;172;251;125;NONE;NONE
765;land;244;157;209;NONE;ENG
766;land;222;65;39;NONE;MNG
767;land;101;186;207;NONE;EGY
768;land;178;239;185;NONE;NONE
769;land;149;242;3;NONE;KHA
770;land;214;249;57;NONE;NONE
771;land;138;121;107;NONE;TUN
772;land;23;42;31;NONE;AZT
773;land;216;15;212;NONE;AZT
774;land;169;62;64;NONE;NONE
775;land;245;66;129;NONE;NONE
776;land;171;21;254;NONE;NONE
777;land;232;156;90;NONE;BUR
